text,bad/good
Sunjuwan attack: Rajnath Singh hails injured pregnant woman who delivered baby after suffering gunshots,0
Mani Shankar Aiyar: ‘I receive much more hatred in India than the love I receive in Pakistan’,0
"Hope to cut air pollution in 100 cities by 50 per cent in next 5 years, says Harsh Vardhan",0
PM Modi can establish peace between Palestine and Israel: Najma Heptulla,0
YSRC MPs to quit Lok Sabha if demand for special status to Andhra Pradesh not met,0
PMO seeks report from Goa govt on impact of Supreme Court’s mining order,0
CPI(M)’s focus is on defeating BJP without siding with Congress,0
"If voted to power, Congress will simplify GST: Rahul Gandhi",0
Ban Valentine’s day celebrations: Tamil Nadu fringe Hindu outfit,0
"Acquired from scrap, restored Dakota to join IAF fleet in March",0
UP: Woman allegedly sets husband afire,0
"Top Bulletin: LeT militants killed in Srinagar, Maharashtra education dept orders books on PM Modi and many more",0
Rahul Gandhi expresses shock at killing of Youth Congress leader,0
Rafale deal is the deal of scams: AAP ,0
325 citizen services to be launched on SARAL platform: Haryana CM Manohar Lal Khattar,0
"Poor should also stay clean, it costs less, says Manohar Parrikar",0
Glanders disease: Delhi government asks Delhi Golf Course to postpone/cancel Derby,0
National Green Tribunal acting Chairperson Justice U D Salvi retires,0
Rahul Gandhi: Ministers not functioning independently as RSS men planted in every department,0
"UP: Ballia man booked for objectionable post against Modi, Yogi",0
Andhra Pradesh government planning to take Centre to court over grants for revenue deficit,0
"Rajasthan: Woman tout arrested for conducting gender test, sent to jail",0
Soldiers paying with blood because of ‘opportunistic’ alliance in J-K: Rahul Gandhi,0
"Rahul Gandhi hits out at Modi govt for isolating India, says NDA creating problem in foreign policy",0
2008 Delhi serial blasts case: Court frames charges against Yasin Bhatkal,0
Over 100 beneficiaries of LPG scheme for poor families meet PM Modi,0
Withdraw FRDI Bill or will launch nationwide protest: Mamata Banerjee,0
DCW chief Swati Maliwal launches campaign against sexual violence,0
No proof of graft in Raman Singh govt’s chopper deal: Supreme Court,0
Family alleges man died after being thrashed by hospital staff,0
"GST, note ban have damaged business of even ‘pakoda sellers’: Mamata Banerjee",0
Government proposes allowing premature closure of PPF account,0
First tender for bullet train to be floated by June,0
State of undeclared emergency in country: Sharad Yadav,0
Supreme Court favours use of digital cameras for crime scene photography,0
Israel-Palestine issue can be solved only by PM Narendra Modi: Najma Heptulla,0
"Alliance inevitable; talks on between Shiv Sena and BJP, says minister",0
"Jharkhand: Activists, officials on state panel to frame protocol for starvation deaths",0
"Uma Bharti not to contest polls for 3 years, says ‘not retiring but rejuvenating body’",0
Andhra Pradesh: MBA student knifed by spurned man,0
Shimla rape: CBI files second chargesheet against former SP,0
